[INFO] ¡Se encontraron 1 videos para procesar en local!

=======================================================
[INFO] INICIANDO PROCESAMIENTO NATURAL/ESTÁTICO: paper
=======================================================

--- FASE 1: EXTRACCIÓN ---
[INFO] Se extrajeron 240 fotogramas.

--- FASE 2: PROCESAMIENTO MATEMÁTICO (FOTOGRAMA A FOTOGRAMA) ---
[frame_0204.png] Procesado en: 6.7917s
[frame_0205.png] Procesado en: 5.5707s
[frame_0206.png] Procesado en: 5.9175s
[frame_0207.png] Procesado en: 7.7649s
[frame_0208.png] Procesado en: 7.0917s
[frame_0209.png] Procesado en: 8.7524s
[frame_0210.png] Procesado en: 8.1059s
[frame_0211.png] Procesado en: 6.3702s
[frame_0212.png] Procesado en: 9.0409s
[frame_0213.png] Procesado en: 8.1032s
[frame_0214.png] Procesado en: 5.8281s
[frame_0215.png] Procesado en: 4.8050s
[frame_0216.png] Procesado en: 4.8688s
[frame_0217.png] Procesado en: 5.0268s
[frame_0218.png] Procesado en: 5.6749s
[frame_0219.png] Procesado en: 6.5490s
[frame_0220.png] Procesado en: 5.5822s
[frame_0221.png] Procesado en: 6.9617s
[frame_0222.png] Procesado en: 5.4644s
[frame_0223.png] Procesado en: 5.3875s
[frame_0224.png] Procesado en: 5.5635s
[frame_0225.png] Procesado en: 6.1382s
[frame_0226.png] Procesado en: 5.9558s
[frame_0227.png] Procesado en: 5.0332s
[frame_0228.png] Procesado en: 4.8716s
[frame_0229.png] Procesado en: 4.8415s
[frame_0230.png] Procesado en: 5.6472s
[frame_0231.png] Procesado en: 4.8048s
[frame_0232.png] Procesado en: 4.8616s
[frame_0233.png] Procesado en: 4.8904s
[frame_0234.png] Procesado en: 4.8533s
[frame_0235.png] Procesado en: 4.7940s
[frame_0236.png] Procesado en: 4.7799s
[frame_0237.png] Procesado en: 4.7727s
[frame_0238.png] Procesado en: 4.8150s
[frame_0239.png] Procesado en: 6.9086s

--- FASE 3: RECONSTRUCCIÓN ---
[INFO] Video reconstruido guardado en: output_videos\paper_reconstruido.mp4
¡ÉXITO! Video exportado a tu carpeta local: output_videos\paper_reconstruido.mp4

[INFO] PROCESAMIENTO TERMINADO.
