[INFO] ¡Se encontraron 1 videos para procesar en local!

=======================================================
[INFO] INICIANDO PROCESAMIENTO: paper
=======================================================

--- FASE 1: EXTRACCIÓN ---
[INFO] Se extrajeron 240 fotogramas.

--- FASE 2: PROCESAMIENTO MATEMÁTICO (DINÁMICO) ---
Inicializando red memristiva para resolución 1280x720...
[frame_0191.png] Procesado en: 4.9802s
[frame_0192.png] Procesado en: 5.1090s
[frame_0193.png] Procesado en: 5.0598s
[frame_0194.png] Procesado en: 5.4244s
[frame_0195.png] Procesado en: 8.1979s
[frame_0196.png] Procesado en: 8.6101s
[frame_0197.png] Procesado en: 5.4845s
[frame_0198.png] Procesado en: 5.2155s
[frame_0199.png] Procesado en: 5.4513s
[frame_0200.png] Procesado en: 5.1923s
[frame_0201.png] Procesado en: 4.9263s
[frame_0202.png] Procesado en: 4.8722s
[frame_0203.png] Procesado en: 5.0357s
[frame_0204.png] Procesado en: 5.1180s
[frame_0205.png] Procesado en: 5.0513s
[frame_0206.png] Procesado en: 5.0538s
[frame_0207.png] Procesado en: 5.3924s
[frame_0208.png] Procesado en: 4.8747s
[frame_0209.png] Procesado en: 4.9232s
[frame_0210.png] Procesado en: 4.8675s
[frame_0211.png] Procesado en: 4.9688s
[frame_0212.png] Procesado en: 4.8686s
[frame_0213.png] Procesado en: 4.9491s
[frame_0214.png] Procesado en: 5.8388s
[frame_0215.png] Procesado en: 7.3282s
[frame_0216.png] Procesado en: 6.0119s
[frame_0217.png] Procesado en: 5.8555s
[frame_0218.png] Procesado en: 6.2622s
[frame_0219.png] Procesado en: 7.6951s
[frame_0220.png] Procesado en: 6.2047s
[frame_0221.png] Procesado en: 5.0427s
[frame_0222.png] Procesado en: 4.8817s
[frame_0223.png] Procesado en: 5.4556s
[frame_0224.png] Procesado en: 6.1791s
[frame_0225.png] Procesado en: 4.9301s
[frame_0226.png] Procesado en: 4.8043s
[frame_0227.png] Procesado en: 4.8341s
[frame_0228.png] Procesado en: 5.8570s
[frame_0229.png] Procesado en: 4.8593s
[frame_0230.png] Procesado en: 4.8698s
[frame_0231.png] Procesado en: 4.9520s
[frame_0232.png] Procesado en: 4.8299s
[frame_0233.png] Procesado en: 4.7885s
[frame_0234.png] Procesado en: 4.8264s
[frame_0235.png] Procesado en: 4.7666s
[frame_0236.png] Procesado en: 4.8568s
[frame_0237.png] Procesado en: 5.0660s
[frame_0238.png] Procesado en: 4.9195s
[frame_0239.png] Procesado en: 4.8039s

--- FASE 3: RECONSTRUCCIÓN ---
[INFO] Video reconstruido guardado en: output_videos\paper_reconstruido.mp4
¡ÉXITO! Video exportado a tu carpeta local: output_videos\paper_reconstruido.mp4

[INFO] TODOS LOS VIDEOS HAN SIDO PROCESADOS CORRECTAMENTE.
